NAME,RATING,DECISION
Alaina Harvey,5.380840193629945,keep
Alaina Harvey,7.53099034145014,give a bonus
Dayanara Duke,4.9235411366740145,keep
Warren Bowen,3.310205966007407,demote
Warren Bowen,4.811261216098778,keep
Warren Bowen,5.6764233039313785,keep
Warren Bowen,7.999396446135152,promote
Warren Bowen,5.685453231974462,keep
Warren Bowen,4.118342930331062,keep
Warren Bowen,4.776004417594123,keep
Warren Bowen,5.6764233039313785,keep
Warren Bowen,5.685453231974462,keep
Warren Bowen,7.754997992271279,promote
Warren Bowen,6.070359631358604,give a bonus
Maria Moon,7.183965897206117,promote
Alaina Harvey,7.796596343686819,promote
Alaina Harvey,4.1225488957725345,keep
Alaina Harvey,1.715895029072324,lay off
Ava Hoover,4.463095996710991,demote
Maria Moon,4.792035680570405,demote
Maria Moon,1.715895029072324,lay off
Maria Moon,1.715895029072324,lay off
Maria Moon,4.7427415824008,keep
Maria Moon,3.517249216144536,demote
Warren Bowen,5.201914734465228,keep
Warren Bowen,5.201914734465228,keep
